size,mflop
31,8749.86
32,10968.9
96,12114.7
97,11555.4
127,11361.4
128,11727
129,10792.1
191,11211.2
192,11936.3
229,11189.6
255,11327.9
256,12272.3
257,10736.3
319,10357.7
320,10243.7
321,10281.6
417,10655.4
479,9706.47
480,10011.8
511,9168.01
512,9488.57
639,7565.19
640,7711.33
767,7483.26
768,7549.27
769,7449.25
1023,7458.21
1024,7498.87
1025,7474.42
1525,7489.39
1526,7698.92
1527,7497.7
