size,mflop
31,18793.7
32,19138.1
96,21382.2
97,21109.1
127,21643
128,21894.6
129,21478.6
191,22050.2
192,21847.7
229,21960.9
255,22266
256,22389.5
257,22142.3
319,22264.3
320,22218.8
321,22157.5
417,22357.1
479,22373.2
480,22477.7
511,22478.3
512,22374.2
639,22511.5
640,22609.2
767,22589.3
768,22671.5
769,22587.2
1023,22657.5
1024,22757
1025,22632.8
1525,22740
1526,22716.6
1527,22738.4
