size,mflop
31,6643.9
32,6217.22
96,5932.48
97,5970.71
127,5720.24
128,2195.2
129,5734.07
191,5417.67
192,2163.88
229,4985.55
255,4963.07
256,2152.36
257,4949.2
319,4373.12
320,2130.33
321,4713.01
417,4413.84
479,4291.18
480,2104.39
511,4168.68
512,1502.35
639,4063.25
640,1932.53
767,4021.55
768,1933.76
769,4014.09
1023,3998.02
1024,599.202
1025,3983.93
1525,3954.6
1526,3965.16
1527,3972.6
