size,mflop
31,11022.6
32,12782.5
96,14613.8
97,15123.9
127,15695.1
128,16644.6
129,14597.7
191,16304.4
192,16644.6
229,16485
255,16976.5
256,16407.4
257,15624.9
319,16478.6
320,16592.6
321,16024.2
417,16445.8
479,16290.7
480,16026.7
511,16421.2
512,15982.9
639,16566.8
640,15764.3
767,16791.6
768,16090.2
769,16501
1023,16588.3
1024,16066.9
1025,16422.2
1525,16784.1
1526,17539.8
1527,16747.8
